MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
15476¬Motavita¬Boyacá¬296¬0,918¬52¬23¬61¬14¬1¬70
23500¬Moñitos¬Córdoba¬271¬0,51¬46¬36¬57¬6¬1¬452
73461¬Murillo¬Tolima¬309¬1,735¬57¬17¬48¬33¬2¬46
05475¬Murindó¬Antioquia¬267¬0¬58¬35¬62¬0¬4¬26
05480¬Mutatá¬Antioquia¬274¬1,071¬48¬35¬58¬5¬2¬201
54480¬Mutiscua¬Norte De Santander¬324¬1,837¬59¬11¬51¬31¬8¬65
15480¬Muzo¬Boyacá¬282¬0,663¬53¬30¬55¬14¬0¬125
68432¬Málaga¬Santander¬363¬0,51¬64¬4¬38¬39¬20¬399
05483¬Nariño¬Antioquia¬285¬1,531¬48¬32¬56¬12¬0¬97
25483¬Nariño¬Cundinamarca¬263¬5¬52¬39¬57¬4¬0¬28
52480¬Nariño¬Nariño¬290¬0,765¬53¬27¬57¬16¬0¬67
73483¬Natagaima¬Tolima¬268¬0,714¬47¬45¬47¬7¬1¬226
05495¬Nechí¬Antioquia¬265¬1,276¬49¬39¬53¬8¬0¬211
05490¬Necoclí¬Antioquia¬270¬0,663¬47¬37¬56¬7¬0¬719
17486¬Neira¬Caldas¬304¬0,816¬54¬17¬59¬21¬3¬263
41001¬Neiva¬Huila¬322¬0,204¬59¬16¬51¬25¬9¬4458
25486¬Nemocón¬Cundinamarca¬309¬0,714¬54¬16¬60¬20¬4¬227
25488¬Nilo¬Cundinamarca¬331¬1,429¬59¬11¬48¬30¬11¬98
25489¬Nimaima¬Cundinamarca¬297¬2,143¬51¬17¬69¬13¬2¬48
15491¬Nobsa¬Boyacá¬340¬0,816¬58¬10¬46¬33¬11¬219
25491¬Nocaima¬Cundinamarca¬309¬1,735¬63¬21¬51¬24¬5¬83
17495¬Norcasia¬Caldas¬288¬2,143¬56¬25¬59¬15¬2¬94
47460¬Nueva Granada¬Magdalena¬257¬0,408¬44¬49¬48¬4¬0¬235
15494¬Nuevo Colón¬Boyacá¬333¬1,429¬65¬15¬41¬38¬6¬73
85225¬Nunchía¬Casanare¬323¬1,735¬61¬9¬59¬25¬7¬110
27495¬Nuquí¬Chocó¬235¬1,378¬46¬67¬31¬2¬0¬82
41483¬Nátaga¬Huila¬273¬2,602¬53¬40¬49¬9¬2¬67
27491¬Nóvita¬Chocó¬264¬1,735¬46¬42¬54¬4¬0¬81
76497¬Obando¬Valle Del Cauca¬280¬2,092¬60¬41¬43¬13¬3¬105
68498¬Ocamonte¬Santander¬356¬1,122¬58¬4¬45¬40¬11¬53
54498¬Ocaña¬Norte De Santander¬321¬0,408¬64¬15¬51¬26¬8¬1447
68500¬Oiba¬Santander¬332¬1,071¬60¬7¬55¬31¬8¬180
15500¬Oicatá¬Boyacá¬327¬2,092¬58¬11¬44¬41¬4¬27
05501¬Olaya¬Antioquia¬302¬2,143¬65¬25¬50¬18¬8¬40
52490¬Olaya Herrera¬Nariño¬248¬1,276¬44¬56¬40¬3¬0¬303
68502¬Onzaga¬Santander¬321¬0¬56¬6¬75¬9¬9¬32
41503¬Oporapa¬Huila¬345¬0,612¬56¬7¬44¬38¬11¬159
86320¬Orito¬Putumayo¬292¬0,459¬55¬24¬58¬16¬2¬647
85230¬Orocué¬Casanare¬299¬0,459¬52¬21¬63¬13¬3¬148
73504¬Ortega¬Tolima¬279¬0,663¬52¬34¬55¬10¬1¬426
52506¬Ospina¬Nariño¬327¬0,714¬65¬12¬54¬23¬11¬91
15507¬Otanche¬Boyacá¬283¬0,969¬53¬29¬63¬5¬3¬118
70508¬Ovejas¬Sucre¬278¬0,663¬48¬37¬48¬14¬1¬370
15511¬Pachavita¬Boyacá¬323¬0¬51¬4¬62¬31¬4¬26
25513¬Pacho¬Cundinamarca¬316¬0,867¬64¬17¬50¬28¬6¬366
19513¬Padilla¬Cauca¬270¬0,51¬48¬40¬54¬6¬0¬136
19517¬Paez¬Cauca¬288¬0,714¬43¬27¬60¬11¬2¬398
41518¬Paicol¬Huila¬301¬1,684¬58¬18¬59¬21¬3¬80
20517¬Pailitas¬Cesar¬273¬1,071¬53¬39¬50¬11¬0¬266
25518¬Paime¬Cundinamarca¬285¬1,735¬53¬32¬55¬11¬2¬53
15516¬Paipa¬Boyacá¬354¬0,612¬61¬8¬41¬34¬17¬514
15518¬Pajarito¬Boyacá¬287¬1,02¬54¬30¬60¬5¬5¬40
41524¬Palermo¬Huila¬331¬0,663¬61¬12¬52¬27¬10¬379
17524¬Palestina¬Caldas¬304¬1,327¬54¬19¬58¬19¬3¬182
41530¬Palestina¬Huila¬304¬0,918¬57¬20¬55¬21¬5¬173
68522¬Palmar¬Santander¬339¬5,561¬59¬0¬57¬36¬7¬14
08520¬Palmar de Varela¬Atlántico¬293¬0,408¬57¬25¬56¬16¬2¬397
68524¬Palmas del Socorr¬Santander¬310¬1,939¬58¬17¬59¬21¬3¬29
76520¬Palmira¬Valle Del Cauca¬321¬0,255¬62¬15¬52¬26¬7¬2796
70523¬Palmito¬Sucre¬272¬0,459¬45¬31¬63¬6¬1¬222
73520¬Palocabildo¬Tolima¬322¬1,735¬59¬10¬53¬31¬6¬87
54518¬Pamplona¬Norte De Santander¬335¬0,357¬58¬9¬51¬30¬9¬703
54520¬Pamplonita¬Norte De Santander¬341¬0,969¬55¬6¬48¬37¬10¬71
25524¬Pandi¬Cundinamarca¬297¬1,071¬49¬16¬64¬18¬2¬61
15522¬Panqueba¬Boyacá¬309¬0¬67¬19¬55¬23¬3¬31
25530¬Paratebueno¬Cundinamarca¬301¬1,582¬58¬21¬58¬19¬2¬110
25535¬Pasca¬Cundinamarca¬337¬1,02¬65¬9¬48¬33¬10¬166
