MUNI_ID¬MUNI_NOMBRE¬DEPA_NOMBRE¬PUNTAJE_PROMEDIO¬ERRORESTANDARPROMEDIO¬DESVIACION¬PORCENTAJE_INSUFICIENTE¬PORCENTAJE_MINIMO¬PORCENTAJE_SATISFACTORIO¬PORCENTAJE_AVANZADO¬N
73449¬Melgar¬Tolima¬306¬0,459¬50¬16¬42¬27¬15¬683
19450¬Mercaderes¬Cauca¬310¬0,918¬49¬15¬35¬34¬16¬250
50330¬Mesetas¬Meta¬309¬1,02¬51¬14¬39¬36¬12¬200
18460¬Milán¬Caquetá¬291¬1,378¬46¬21¬49¬21¬10¬146
15455¬Miraflores¬Boyacá¬327¬0,867¬58¬11¬31¬33¬26¬110
95200¬Miraflores¬Guaviare¬292¬1,888¬46¬23¬47¬23¬7¬87
19455¬Miranda¬Cauca¬310¬0,459¬50¬19¬34¬30¬17¬507
66456¬Mistrató¬Risaralda¬269¬0,765¬44¬41¬41¬14¬4¬306
97001¬Mitú¬Vaupés¬263¬0,663¬35¬41¬49¬9¬1¬428
86001¬Mocoa¬Putumayo¬317¬0,408¬52¬15¬36¬30¬19¬865
68464¬Mogotes¬Santander¬313¬0,765¬55¬13¬36¬37¬14¬194
68468¬Molagavita¬Santander¬308¬2,5¬60¬19¬35¬31¬15¬48
23464¬Momil¬Córdoba¬296¬0,51¬51¬21¬44¬25¬11¬264
13468¬Mompós¬Bolívar¬287¬0,663¬49¬30¬39¬20¬11¬930
15464¬Mongua¬Boyacá¬300¬1,122¬49¬18¬43¬29¬11¬63
15466¬Monguí¬Boyacá¬303¬1,378¬52¬14¬40¬35¬12¬86
15469¬Moniquirá¬Boyacá¬315¬0,816¬49¬15¬29¬39¬18¬337
05467¬Montebello¬Antioquia¬333¬1,173¬61¬11¬29¬28¬33¬91
13458¬Montecristo¬Bolívar¬278¬1,173¬47¬30¬49¬15¬6¬327
23466¬Montelíbano¬Córdoba¬297¬0,408¬47¬24¬40¬21¬15¬1674
63470¬Montenegro¬Quindio¬300¬0,765¬50¬18¬45¬25¬12¬437
85162¬Monterrey¬Casanare¬291¬0,663¬54¬27¬41¬24¬9¬272
23001¬Montería¬Córdoba¬302¬0,153¬51¬21¬39¬24¬15¬8153
13473¬Morales¬Bolívar¬283¬0,765¬48¬27¬47¬20¬6¬354
19473¬Morales¬Cauca¬289¬0,612¬45¬26¬43¬22¬10¬597
18479¬Morelia¬Caquetá¬284¬1,633¬47¬32¬38¬23¬7¬60
94888¬Morichal¬Guainía¬248¬3,469¬21¬56¬44¬0¬0¬16
70473¬Morroa¬Sucre¬296¬0,969¬42¬17¬50¬21¬12¬258
25473¬Mosquera¬Cundinamarca¬328¬0,255¬56¬11¬31¬31¬28¬2226
15476¬Motavita¬Boyacá¬305¬1,02¬47¬19¬37¬27¬16¬73
23500¬Moñitos¬Córdoba¬273¬0,663¬39¬33¬48¬16¬3¬562
73461¬Murillo¬Tolima¬308¬1,888¬45¬14¬37¬40¬9¬65
05475¬Murindó¬Antioquia¬287¬1,173¬55¬28¬47¬17¬8¬72
05480¬Mutatá¬Antioquia¬279¬0,714¬50¬35¬40¬18¬8¬468
54480¬Mutiscua¬Norte De Santander¬314¬1,173¬53¬15¬36¬33¬16¬75
15480¬Muzo¬Boyacá¬306¬1,071¬52¬17¬39¬30¬14¬161
68432¬Málaga¬Santander¬341¬0,459¬56¬10¬22¬32¬36¬306
05483¬Nariño¬Antioquia¬314¬0,918¬55¬13¬37¬35¬15¬187
25483¬Nariño¬Cundinamarca¬277¬1,939¬55¬36¬46¬7¬11¬28
52480¬Nariño¬Nariño¬301¬0,612¬43¬13¬51¬23¬13¬39
73483¬Natagaima¬Tolima¬289¬0,765¬44¬24¬43¬27¬6¬247
05495¬Nechí¬Antioquia¬278¬0,765¬46¬32¬44¬18¬6¬672
05490¬Necoclí¬Antioquia¬282¬0,459¬47¬29¬47¬18¬6¬1330
17486¬Neira¬Caldas¬314¬0,867¬53¬13¬34¬38¬16¬281
41001¬Neiva¬Huila¬311¬0,153¬51¬17¬37¬27¬19¬5712
25486¬Nemocón¬Cundinamarca¬304¬1,02¬54¬21¬35¬30¬14¬299
25488¬Nilo¬Cundinamarca¬318¬0,561¬54¬12¬34¬37¬18¬137
25489¬Nimaima¬Cundinamarca¬310¬2,296¬53¬14¬38¬28¬20¬50
15491¬Nobsa¬Boyacá¬341¬1,224¬58¬4¬31¬34¬31¬205
25491¬Nocaima¬Cundinamarca¬311¬0,969¬59¬17¬35¬32¬16¬81
17495¬Norcasia¬Caldas¬304¬1,02¬48¬11¬50¬26¬13¬127
47460¬Nueva Granada¬Magdalena¬292¬0,663¬61¬29¬41¬19¬12¬452
15494¬Nuevo Colón¬Boyacá¬300¬0,561¬49¬14¬51¬26¬9¬77
85225¬Nunchía¬Casanare¬327¬1,327¬60¬8¬33¬36¬24¬169
27495¬Nuquí¬Chocó¬284¬1,224¬55¬35¬40¬12¬13¬217
41483¬Nátaga¬Huila¬318¬1,224¬65¬14¬37¬28¬21¬100
27491¬Nóvita¬Chocó¬309¬1,071¬56¬17¬37¬28¬18¬209
76497¬Obando¬Valle Del Cauca¬297¬1,276¬44¬18¬49¬22¬11¬133
68498¬Ocamonte¬Santander¬308¬1,48¬51¬15¬44¬24¬17¬75
