CODIGO,Lenguaje Grado 3,Lenguaje Grado 5,Lenguaje Grado 9,Lenguaje Grado 11,Matemáticas Grado 3,Matemáticas Grado 5,Matemáticas Grado 9,Matemáticas Grado 11,N 3,N 5,N 9,N 11
205079000206,,,,-0.2416015336026676,,,,-0.40419084266200506,,,,47.0
205079000346,,,,0.0969090305472374,,,,-0.16471690024430383,,,,48.0
205079000729,,,,-0.900983455960526,,,,-1.168270312325209,,,,51.0
205079000885,,,,-0.5934753719330235,,,,-0.8671797219099435,,,,75.0
205086000033,,,,-0.2767046699085688,,,,-0.227362217277506,,,,21.0
205086000092,,,,-0.973177159456144,,,,-1.0517382733086298,,,,46.0
205088000120,,,,-0.02256948802335482,,,,-0.30351926935708423,,,,17.0
205088000197,,,,-0.3949277471388075,,,,-0.6202005595065442,,,,32.0
205088000430,,,,-0.011194343114815264,,,,0.4575599156188388,,,,15.0
205088001487,,,,-0.1642848350089014,,,,-0.3923282187982713,,,,40.0
205093000260,,,,-0.6962602407461236,,,,-0.8441029353563175,,,,43.0
205093000413,,,,-1.1622506731455384,,,,-1.2523589283540892,,,,35.0
205101000304,,,,0.16741123076161918,,,,-0.20648044493310433,,,,24.0
205101000355,,,,-0.5616415965179289,,,,-1.102198574442926,,,,38.0
205101000371,,,,0.47915565347827294,,,,-0.2571933206266488,,,,14.0
205113000407,,,,-0.09713988242377468,,,,-0.1271297100243818,,,,15.0
205120000081,,,,0.21441269757120643,,,,0.5589856670059278,,,,35.0
205120000366,,,,-0.2690309610416972,,,,-0.5050897894580352,,,,20.0
205120000391,,,,0.09355178291798051,,,,0.50349981477652,,,,4.0
205120001435,,,,-0.5409680190114555,,,,-0.5634282409452047,,,,64.0
205129000121,,,,-1.0486383024084518,,,,-0.9779772772248828,,,,37.0
205129000130,,,,-0.8080428562767734,,,,-0.9719054105226901,,,,29.0
205138000088,,,,-0.6719006765524502,,,,-0.8329336152651261,,,,12.0
205138000142,,,,-0.6669675779951759,,,,-0.8452922152240572,,,,49.0
205138000622,,,,-0.6059765412870547,,,,-0.4589600560063135,,,,11.0
205138000649,,,,0.04520741705669016,,,,-0.20439226769866473,,,,20.0
205142000271,1.7290825493458433,1.8366830244659123,,,3.0432003944975534,3.358396082578233,,,5.0,3.0,,
205145000140,,,,-0.8491633513771816,,,,-0.5990577650078385,,,,10.0
205147000112,,,,-0.5582707567930072,,,,-0.8216895840027577,,,,39.0
205147000147,,,,-0.18065953957482211,,,,-0.4644713742203782,,,,31.0
205147000309,,,,-2.004469735549556,,,,-1.8529278797800854,,,,13.0
205147000350,,,,-1.1553443351653538,,,,-0.9999877940203324,,,,16.0
205147000457,,,,-0.9315278265482693,,,,-0.9930272032388656,,,,9.0
205147000996,-1.093599414152904,-0.6080865458121455,-1.0761416663839434,-0.46306617096116265,-1.2118561526870923,-0.7309687521462398,-0.6337601499019222,-0.7379002431671394,45.0,31.0,29.0,49.0
205148000469,,,,-0.023280434580137854,,,,0.5567483342547418,,,,40.0
205148000582,,,,0.4754722732221733,,,,0.4659126245565986,,,,50.0
205154000225,,,,-0.4797628122319375,,,,-1.0529953699715027,,,,13.0
205154000977,,,,-0.9390669089437915,,,,-1.372562574270429,,,,19.0
205154001922,,,,-2.122231652391161,,,,-1.8613609032268623,,,,8.0
205154002015,,,,0.45277727924840133,,,,0.45651582700161825,,,,48.0
