COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CARACTER,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION
105001001805,INST EDUC FE Y ALEGRIA POPULAR NRO. 1,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001005339,INST EDUC MONSE?OR FRANCISCO CRISTOBAL TORO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001635,INST EDUC YERMO Y PARRES,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001651,INST EDUC JOSE CELESTINO MUTIS,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001660,INST EDUC JOSE ANTONIO GALAN,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001006068,INST EDUC DINAMARCA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001011886,INST EDUC AMERICA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001716,INSTITUCION EDUCATIVA SANTA CATALINA DE SIENA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001002071,I.E. BENJAMIN HERRERA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001001791,INST EDUC MONSEÑOR GERARDO VALENCIA CANO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001821,INST EDUC NUEVO HORIZONTE,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001001881,I.E. CARLOS VIECO ORTIZ,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001002003,INST EDUC SAN ROBERTO BELARMINO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001002011,INST EDUC FEDERICO OZANAM,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002038,INST EDUC JOSE EUSEBIO CARO,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001002488,INST EDUC PEDRO LUIS VILLA,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002135,INST EDUC RAMON MUNERA LOPERA,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001019089,INST EDUC VIDA PARA TODOS,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001026581,INST EDUC LA SIERRA,MIXTO,OFICIAL,,URBANO,5001
105001015831,INST EDUC VALLEJUELOS,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001026131,I.E. EL PINAL,MIXTO,OFICIAL,ACADÉMICO,URBANO,5001
105001002348,INST EDUC FE Y ALEGRIA SANTO DOMINGO SAVIO,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
105001002356,INST EDUC GABRIEL GARCIA MARQUEZ,MIXTO,OFICIAL,TÉCNICO/ACADÉMICO,URBANO,5001
