cole_cod_dane_establecimiento,cole_nombre_establecimiento,punt_lectura_critica_mean,punt_lectura_critica_count,punt_lectura_critica_std,punt_matematicas_mean,punt_matematicas_count,punt_matematicas_std,punt_c_naturales_mean,punt_c_naturales_count,punt_c_naturales_std,punt_sociales_ciudadanas_mean,punt_sociales_ciudadanas_count,punt_sociales_ciudadanas_std,punt_ingles_mean,punt_ingles_count,punt_ingles_std,punt_global_mean,punt_global_count,punt_global_std
250006000891,IE CAMPESTRE SAN JOSE,57.241379310344826,29,10.891199502395741,56.62068965517241,29,10.335147359179771,57.93103448275862,29,10.23275913944579,59.275862068965516,29,10.996416792119598,51.827586206896555,29,9.964468896739486,286.44827586206895,29,46.85584748299569
250006001048,IE DINAMARCA,50.39393939393939,33,8.954535840634739,44.90909090909091,33,10.946927754978894,47.96969696969697,33,8.210073265830397,47.303030303030305,33,8.323479022037784,44.666666666666664,33,6.641096796965594,237.06060606060606,33,35.81370145797852
250150000129,IE SAN LORENZO,50.4,45,8.214178429564777,47.17777777777778,45,10.296267834178135,48.977777777777774,45,9.497580765860347,46.46666666666667,45,10.263793379908549,45.62222222222222,45,7.490263039709647,240.22222222222223,45,40.061820914051005
250223000394,IE EL DORADO,46.528301886792455,106,7.991909655776374,44.886792452830186,106,10.062017931396866,45.41509433962264,106,8.443501783736867,43.801886792452834,106,9.330359878039467,43.820754716981135,106,7.500853500402561,225.28301886792454,106,36.37994076200866
250226000140,IE AGRICOLA DE GUACAVIA,52.68181818181818,44,7.819988482929504,49.68181818181818,44,9.699610942264108,52.04545454545455,44,7.742827274787173,50.09090909090909,44,9.842523267466179,46.31818181818182,44,7.43271438499853,253.77272727272728,44,36.92787668022542
250226000174,IE FRANCISCO WALTER,47.62820512820513,78,9.041188541507706,43.705128205128204,78,10.424881542643792,46.14102564102564,78,7.555378851106646,45.03846153846154,78,8.874949873928038,42.0,78,7.385489458759963,226.73076923076923,78,36.55903359038552
250226000361,IE SAN ISIDRO DE VERACRUZ,50.27272727272727,22,8.955880314508017,48.72727272727273,22,8.891846549785656,51.81818181818182,22,6.336863905422313,48.40909090909091,22,7.626139826806787,48.59090909090909,22,9.132146729882514,248.6818181818182,22,32.55089255397778
250245000584,IE SIMON BOLIVAR,55.857142857142854,7,8.315218406202998,52.142857142857146,7,11.894376422334652,52.42857142857143,7,10.967484410096706,53.142857142857146,7,11.767590682726455,41.285714285714285,7,7.54352450150206,262.14285714285717,7,49.60990684473069
250287000401,IE ANTONIO NARIÑO,52.875,8,9.014868670305582,52.0,8,6.210590034081189,43.75,8,10.05342869728674,49.0,8,7.230886134196436,40.25,8,6.2962573917254305,243.5,8,28.12726181381432
250313000164,IE JOSE ANTONIO GALAN,51.333333333333336,27,6.5983680966176435,46.51851851851852,27,8.776587607293056,48.44444444444444,27,8.576951822419348,46.666666666666664,27,7.775701798650617,48.0,27,8.329742816234807,241.1851851851852,27,29.374291529311872
